num,name,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Run_ID,Session,Date
2,Switchgrass,-5.31171737746909,0.00472124001187354,0.230517862938179,-5.76635293484245,-5.46832382737374,-5.31184286240218,-5.1573071224556,-4.85527008731855,2383.949280202,1.00103881231482,2012,_current,1,2012-05-21
3,Miscanthus,-6.14849397143001,0.00431762624530246,0.234976248026053,-6.6170922140942,-6.30264071912368,-6.144837205465,-5.99171978421347,-5.6902519617694,2961.81439747744,1.00054563386687,2012,_current,1,2012-05-21
4,Prairie,-5.56546406089823,0.00384298913631957,0.208768457625747,-5.97232079110625,-5.70588572019805,-5.56530055604128,-5.42831235269725,-5.15205139931775,2951.15113880992,1.0012111920458,2012,_current,1,2012-05-21
1,Maize-Soybean,-6.59628841297645,0.00336188978965622,0.186846095280532,-6.97420786719768,-6.72017927103903,-6.5902782016447,-6.46823172164101,-6.24575247516051,3088.88050974644,1.00137317579436,2012,_current,2,2012-06-06
2,Switchgrass,-5.02295562051398,0.00200822606082392,0.148476483323667,-5.30424858409482,-5.12398650816875,-5.02553449274197,-4.92507353768105,-4.72367855574158,5466.25827916105,1.00000925942118,2012,_current,2,2012-06-06
3,Miscanthus,-5.67406533116961,0.0020117350917813,0.150033945753034,-5.97060249551536,-5.77228933726787,-5.67404173370664,-5.57480398748364,-5.37859371805073,5562.08317112114,1.00171231234855,2012,_current,2,2012-06-06
4,Prairie,-5.35381748909849,0.00181648051828631,0.137107774096061,-5.62249395100863,-5.44474800344005,-5.35317393067142,-5.26354466568446,-5.08269931032513,5697.21582124815,1.00035072308333,2012,_current,2,2012-06-06
1,Maize-Soybean,-5.85505194457898,0.00177162090052177,0.139019391474409,-6.13408271593418,-5.94657822661786,-5.85261790475956,-5.76155686124046,-5.59036467400996,6157.5674234673,1.00122511785266,2012,_current,3,2012-06-20
2,Switchgrass,-5.11509683339681,0.00196451851180189,0.151561550020895,-5.40441227544939,-5.21796254003494,-5.11865248222576,-5.01506467260652,-4.80888851577691,5952.0397811376,1.00065942909639,2012,_current,3,2012-06-20
3,Miscanthus,-5.70172070697857,0.00202615349764781,0.144793354087604,-5.98964307313335,-5.79611862278559,-5.69903171339639,-5.60477923667637,-5.42449825578316,5106.8437439158,1.00032998126298,2012,_current,3,2012-06-20
4,Prairie,-5.40606468113802,0.00196313690360121,0.131242960956585,-5.66446142493993,-5.49400575045016,-5.40637896894582,-5.3168433286942,-5.14974716950644,4469.41688659472,1.0013044838883,2012,_current,3,2012-06-20
1,Maize-Soybean,-5.04328704286129,0.0019640385587057,0.170495698254542,-5.37339200711489,-5.15818911876221,-5.04552782441323,-4.93128277012734,-4.70325400838657,7535.75607292391,1.00036750678118,2012,_current,4,2012-08-05
2,Switchgrass,-4.59238811009842,0.00214664561658444,0.193778468790277,-4.95890018052163,-4.72371361075585,-4.59557741981546,-4.46647599965014,-4.19848984608347,8148.73757399187,1.00063514396621,2012,_current,4,2012-08-05
3,Miscanthus,-5.79289908012775,0.00200573624228222,0.177597141438759,-6.13786286054066,-5.91236507205476,-5.79443743438786,-5.67446299086428,-5.43750991322543,7840.14867547842,1.00026573914726,2012,_current,4,2012-08-05
4,Prairie,-5.28734600458175,0.00194965985599696,0.155494641090381,-5.58889296980875,-5.39035070160416,-5.28769755792714,-5.18428083028098,-4.97894328721138,6360.82069492342,1.00096886798917,2012,_current,4,2012-08-05
1,Maize-Soybean,-5.26884084248289,0.00198904738137356,0.171378005338206,-5.6046726677754,-5.3834325470032,-5.26975688064868,-5.15381886942628,-4.93191689046722,7423.69140292655,1.00059899618872,2012,_current,5,2012-08-30
2,Switchgrass,-4.89185155860501,0.00263253654811651,0.237016858615526,-5.34411156877613,-5.0511435741948,-4.89344849032892,-4.73713405143539,-4.41757205395683,8106.05706733735,1.00009153716131,2012,_current,5,2012-08-30
3,Miscanthus,-5.985178875475,0.00198570407090482,0.184990401127536,-6.34944209642732,-6.10888851595773,-5.98597256684885,-5.86189675680782,-5.62458292890328,8678.99295601428,1.00087228463694,2012,_current,5,2012-08-30
4,Prairie,-5.65961519681725,0.00263265841175292,0.23176035661888,-6.12011858960766,-5.81236294465908,-5.65695673495633,-5.50616031365341,-5.20921139552267,7749.77823549876,1.00007387236139,2012,_current,5,2012-08-30
1,Switchgrass,-4.77772264073301,0.0023740187206826,0.203049302532651,-5.17568291020234,-4.9138880645643,-4.77837291097775,-4.64235563697329,-4.38046417496789,7315.34352889654,1.00174746910769,2012,_current,6,2012-10-24
2,Miscanthus,-5.87255515130947,0.00239456797025954,0.208181240143196,-6.28222970841292,-6.01162497963243,-5.87220197580149,-5.7343771608112,-5.45870193800419,7558.38212394356,1.00104735714317,2012,_current,6,2012-10-24
3,Prairie,-5.58014707491352,0.00275719506404094,0.19093546725744,-5.95718167441154,-5.70569703814966,-5.579833544103,-5.45262956481029,-5.20583740121511,4795.54788608529,1.00105831389793,2012,_current,6,2012-10-24
1,Maize-Soybean,-5.45894905159214,0.00274216833407777,0.219025537642872,-5.87498168699795,-5.60875832558171,-5.46443830769539,-5.31443500864029,-5.01545470289172,6379.71513745101,1.00021944814025,2013,_current,5,2013-08-14
2,Switchgrass,-5.02322504418004,0.00198488709304957,0.179263825780408,-5.37015709643341,-5.14294198689844,-5.02612167383294,-4.90377772889714,-4.66845088660529,8156.68528748966,1.00011753654205,2013,_current,5,2013-08-14
3,Miscanthus,-5.7167785373567,0.00218976556130467,0.180045849719323,-6.07908124999014,-5.83402017746507,-5.71432818754477,-5.59618510619749,-5.36709451484549,6760.37811269505,1.00031563676009,2013,_current,5,2013-08-14
4,Prairie,-5.10948298676808,0.00181287747898085,0.140903023592391,-5.38311176934834,-5.20410011960022,-5.11025598481304,-5.01645224190868,-4.82862785421217,6040.92880619472,1.00013518748557,2013,_current,5,2013-08-14
1,Maize-Soybean,-4.90607334474207,0.00198692155963241,0.192420376862406,-5.28106515931503,-5.03297509818957,-4.90637815606377,-4.77978206110815,-4.52874276894919,9378.65752662593,1.00005426548647,2014,_current,2,2014-08-14
2,Switchgrass,-4.6274617414469,0.0014150926388993,0.132271735970993,-4.88288849451781,-4.71708742986009,-4.62845288903194,-4.53907328514036,-4.36719469972422,8737.04078639888,1.00021442155976,2014,_current,2,2014-08-14
3,Miscanthus,-5.08747485277669,0.00147821583895023,0.124425494429825,-5.33458336986179,-5.17149284190303,-5.0870971042823,-5.0016009086311,-4.84631357088158,7085.05208989943,1.0009816106425,2014,_current,2,2014-08-14
4,Prairie,-4.84048853763168,0.00156041192258919,0.119530413096756,-5.07479244393007,-4.91999782332686,-4.84037786646262,-4.75966083479623,-4.60574019343765,5867.84077883994,1.00085596893968,2014,_current,2,2014-08-14
