term,parameter,crop_num,estimate,std.error,conf_2.5,conf_97.5,rhat,ess,conf_25,conf_75,Year,Session,Date,Run_ID,crop_name,prior_mean,prior_sd
b_depth[2],b_depth,2,-0.903090100571567,0.184471224950732,-1.26789262061667,-0.543982855874299,0.999942673521541,20000,-1.02700173118524,-0.778121264947622,2010,4,2010-08-16,_current,Switchgrass,-1,5
b_depth[3],b_depth,3,-0.68895804903269,0.198438211734912,-1.10416506038468,-0.324556111754957,1.00008198699874,16456,-0.816632482634475,-0.552966968864454,2010,4,2010-08-16,_current,Miscanthus,-1,5
b_depth[4],b_depth,4,-0.822846890461072,0.203693398816026,-1.24896990785472,-0.454013744055523,0.999872523789802,14331,-0.954309448076734,-0.680450349530291,2010,4,2010-08-16,_current,Prairie,-1,5
intercept[1],intercept,1,-5.65092566631684,0.220040197007417,-6.07031523933077,-5.2059877523258,1.00013873780797,6148,-5.80068208246139,-5.50592679121204,2010,4,2010-08-16,_current,Maize-Soybean,-6,6
intercept[2],intercept,2,-5.44230211477179,0.1919133123019,-5.81422187135197,-5.06556204450686,1.00029017945458,7325,-5.57287613394331,-5.31500808528787,2010,4,2010-08-16,_current,Switchgrass,-6,6
intercept[3],intercept,3,-6.03653088925366,0.19051264522751,-6.41509274253993,-5.66658127156834,1.00057249634142,6634,-6.16263143453627,-5.91003512357427,2010,4,2010-08-16,_current,Miscanthus,-6,6
intercept[4],intercept,4,-5.90387030868577,0.179902990296419,-6.26734629180885,-5.55878953246624,1.00021019825772,6708,-6.02236901069916,-5.78353399588881,2010,4,2010-08-16,_current,Prairie,-6,6
loc_detect,loc_detect,NA,-6.17049273580118,0.0939398091888157,-6.35957920554281,-5.99261402557996,1.0004950035404,9078,-6.23249209321967,-6.10659192930963,2010,4,2010-08-16,_current,NA,-8,10
loc_surface[1],loc_surface,1,24.9206731163007,11.7731649797187,-1.96388948550466,43.5235169294176,1.000127031985,3758,17.8657988653716,33.7022554165046,2010,4,2010-08-16,_current,Maize-Soybean,13,10
loc_surface[2],loc_surface,2,15.2275596575278,2.49388322413219,10.3685256878018,20.1823427889629,0.999874521824803,15532,13.5823190894435,16.8851948351712,2010,4,2010-08-16,_current,Switchgrass,13,10
loc_surface[3],loc_surface,3,13.7860700503964,4.17008577278596,6.53001994958684,22.6140162229563,1.00021115580882,13808,10.8857474052037,16.4394754441437,2010,4,2010-08-16,_current,Miscanthus,13,10
loc_surface[4],loc_surface,4,15.6013839389821,3.95311857236438,8.06956346556481,23.5445262916899,1.000007407223,10951,12.8974012988564,18.2275176991488,2010,4,2010-08-16,_current,Prairie,13,10
scale_detect,scale_detect,NA,0.959925005198631,0.157239008882058,0.68690385033297,1.30489380557634,1.00123857181762,3898,0.849544616742574,1.05542649163148,2010,4,2010-08-16,_current,NA,0,6
scale_surface[1],scale_surface,1,12.3131974677061,2.9191588457093,7.06410014786253,18.5475467885678,1.00104202130198,3003,10.4970857946531,13.9837805918402,2010,4,2010-08-16,_current,Maize-Soybean,6,5
