tube,depth,Species,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Session,Date
1,21,Switchgrass,-6.70593193894436,0.00489200759814801,0.569773957592236,-7.77208093534526,-7.08597653898451,-6.71625032246902,-6.34314669632046,-5.52358991156234,13565.3481637446,0.999957590359561,2010,1,2010-05-27
2,21,Miscanthus,-7.54841969351918,0.00444402765287906,0.581103843666176,-8.7007392778891,-7.92303097524366,-7.55057535924901,-7.16585219732837,-6.40068731759653,17098.3416540765,1.00005394370415,2010,1,2010-05-27
3,21,Prairie,-6.93948811594592,0.00462975980631297,0.556354739467467,-8.00971916835282,-7.30719465065248,-6.95404807729137,-6.5853338979733,-5.80589537476695,14440.6473925549,1.00002540049729,2010,1,2010-05-27
4,21,Maize-Soybean,-8.60665353400528,0.0057854787314261,0.644170706557638,-9.90116775111064,-9.02777595520979,-8.59326172239762,-8.1856451903118,-7.34681819965879,12397.1923710168,1.00033644329811,2010,1,2010-05-27
1,28,Switchgrass,-6.95524124226306,0.00454767313050701,0.550310856859927,-7.99903698191518,-7.3231400730797,-6.96351781469923,-6.60597728302553,-5.81842764153942,14643.2567910591,0.999920880693527,2010,1,2010-05-27
2,28,Miscanthus,-7.83067897032767,0.00431253201316193,0.559737022609528,-8.95112585393989,-8.18960326141097,-7.82719352920758,-7.46647954908724,-6.72526587670441,16846.2562578751,1.00013471690453,2010,1,2010-05-27
3,28,Prairie,-7.22377225243316,0.00399750267487306,0.539492809415207,-8.27655353457666,-7.57661245039527,-7.23201237152991,-6.87518255627399,-6.13811944084161,18213.5161494963,0.999973325412282,2010,1,2010-05-27
4,28,Maize-Soybean,-8.92385816224487,0.00620266646517537,0.621868143910505,-10.1924655367368,-9.32423211682787,-8.90322079433034,-8.51000803936523,-7.73916477323169,10051.7056622332,1.0004658502699,2010,1,2010-05-27
1,35,Switchgrass,-7.14862056146806,0.00423165789426733,0.53902875648824,-8.17916413956799,-7.50513393760314,-7.15745815077605,-6.80668074466018,-6.04176708867206,16225.6748703564,0.999896229407083,2010,1,2010-05-27
2,35,Miscanthus,-8.04961627455952,0.00430985506380298,0.549567655862776,-9.15947365234339,-8.40012975601161,-8.0408304088599,-7.68908759853335,-6.96942192660374,16259.8673722979,1.00020172410409,2010,1,2010-05-27
3,35,Prairie,-7.4442801598513,0.00389612894667695,0.530613846874456,-8.4846462765403,-7.79195043029902,-7.44876258633855,-7.10327201674866,-6.3853721182838,18547.7192897693,0.999946196077497,2010,1,2010-05-27
4,35,Maize-Soybean,-9.16990118687773,0.00690957751336315,0.616258830715209,-10.4416796401769,-9.56512923221529,-9.14773831968979,-8.75199722259686,-8.00469376684899,7954.69119377918,1.00058748113518,2010,1,2010-05-27
1,42,Switchgrass,-7.30662296987987,0.00411937043422324,0.532453087956854,-8.33220973259293,-7.65949060160589,-7.31472323887327,-6.96507145903527,-6.2194038712935,16707.0974148714,0.999879735299137,2010,1,2010-05-27
2,42,Miscanthus,-8.22850107724698,0.0043713241940148,0.545668031995028,-9.32450420148082,-8.57741595604046,-8.21927710319028,-7.87035113266633,-7.15417875368117,15582.2794797512,1.00025621797198,2010,1,2010-05-27
3,42,Prairie,-7.6244482387811,0.00385194790484951,0.526232920548478,-8.66054006846038,-7.96505769502573,-7.62602590605862,-7.285860847945,-6.5823560157317,18663.5913727093,0.99993459547913,2010,1,2010-05-27
4,42,Maize-Soybean,-9.37093297572019,0.00736806885633926,0.61951612371596,-10.6546801269049,-9.76775951002943,-9.34655499482882,-8.94613059035383,-8.21626023924611,7069.64939376163,1.00069222362864,2010,1,2010-05-27
