"Year","Treatment","Block","Sample","Upper","Lower","Pct_dead","Mass_root","Mass_rhizome","Soil_length","Biomass_notes","Num_cores","Fert_kg_ha","Pct_N_root","Pct_C_root","CN_notes_root","Pct_N_rhizome","Pct_C_rhizome","CN_notes_rhizome","Midpoint","Layer_fraction","Mass_total","Biomass_g_cm3","Biomass_g_m2","Mass_root_C","Mass_root_N","Mass_rhizome_C","Mass_rhizome_N","Mass_total_C","Mass_total_N","C_g_cm3","N_g_cm3","C_g_m2","N_g_m2"
2011,"Maize",0,"8",0,10,"20",0.04,0,30,"",3,180,1.63,45.34,"",NA,NA,NA,5,1,0.04,0.000116949643934221,11.6949643934221,0.018136,0.000652,0,0,0.018136,0.000652,5.3024968559776e-05,1.90627919612781e-06,5.3024968559776,0.190627919612781
2011,"Maize",0,"8",10,30,"",0.03,0,60,"",3,180,1.07,38.3,"",NA,NA,NA,20,1,0.03,4.3856116475333e-05,8.7712232950666,0.01149,0.000321,0,0,0.01149,0.000321,1.67968926100525e-05,4.69260446286063e-07,3.35937852201051,0.0938520892572126
2011,"Maize",0,"8",30,50,"",0.08,0,60,"",3,180,1.02,38.96,"",NA,NA,NA,40,1,0.08,0.000116949643934221,23.3899287868443,0.031168,0.000816,0,0,0.031168,0.000816,4.55635812767726e-05,1.19288636812906e-06,9.11271625535453,0.238577273625812
2011,"Maize",0,"8",50,100,"5",0.19,0,150,"",3,180,1.01,33.69,"",NA,NA,NA,75,1,0.19,0.00011110216173751,55.5510808687551,0.064011,0.001919,0,0,0.064011,0.001919,3.74303182893672e-05,1.12213183354885e-06,18.7151591446836,0.561065916774427
2011,"Maize",0,"8",100,126,"",0.05,0,92,"",3,180,1.04,35.58,"",NA,NA,NA,115.333333333333,1.17948717948718,0.05,4.76696918210141e-05,12.3941198734637,0.01779,0.00052,0,0,0.01779,0.00052,1.69608763499168e-05,4.95764794938547e-07,4.40982785097838,0.128898846684022
2011,"Maize",1,"1",0,10,"5",0,0,30,"",3,180,1.42,42.1,"",NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",1,"1",10,30,"20",0.08,0,60,"",3,180,1.31,36.28,"",NA,NA,NA,20,1,0.08,0.000116949643934221,23.3899287868443,0.029024,0.001048,0,0,0.029024,0.001048,4.24293308193355e-05,1.5320403355383e-06,8.4858661638671,0.30640806710766
2011,"Maize",1,"1",30,50,"5",0.06,0,60,"",3,180,0.58,30.27,"",NA,NA,NA,40,1,0.06,8.7712232950666e-05,17.5424465901332,0.018162,0.000348,0,0,0.018162,0.000348,2.65504929141666e-05,5.08730951113863e-07,5.31009858283332,0.101746190222773
2011,"Maize",1,"1",50,100,"10",0.12,0,150,"",3,180,0.76,36.67,"",NA,NA,NA,75,1,0.12,7.01697863605328e-05,35.0848931802664,0.044004,0.000912,0,0,0.044004,0.000912,2.57312606584074e-05,5.33290376340049e-07,12.8656303292037,0.266645188170025
2011,"Maize",1,"1",100,126,"10",0.04,0,87,"",3,180,0.77,33.11,"",NA,NA,NA,114.5,1.11538461538462,0.04,4.03274634255936e-05,10.4851404906543,0.013244,0.000308,0,0,0.013244,0.000308,1.3352423140214e-05,3.1052146837707e-07,3.47163001645565,0.0807355817780383
2011,"Maize",1,"2",0,10,"20",0.13,0,30,"",3,180,1.34,44.72,"",NA,NA,NA,5,1,0.13,0.000380086342786219,38.0086342786219,0.058136,0.001742,0,0,0.058136,0.001742,0.000169974612493997,5.09315699333534e-06,16.9974612493997,0.509315699333534
2011,"Maize",1,"2",10,30,"25",0.07,0,60,"",3,180,1.62,41.54,"",NA,NA,NA,20,1,0.07,0.000102330938442444,20.4661876884887,0.029078,0.001134,0,0,0.029078,0.001134,4.25082718289911e-05,1.65776120276759e-06,8.50165436579822,0.331552240553518
2011,"Maize",1,"2",30,50,"5",0.05,0,60,"",3,180,1.04,36.97,"",NA,NA,NA,40,1,0.05,7.30935274588883e-05,14.6187054917777,0.018485,0.00052,0,0,0.018485,0.00052,2.7022677101551e-05,7.60172685572439e-07,5.4045354203102,0.152034537114488
2011,"Maize",1,"2",50,100,"0",0.08,0,150,"",3,180,0.91,40.15,"",NA,NA,NA,75,1,0.08,4.67798575736885e-05,23.3899287868443,0.03212,0.000728,0,0,0.03212,0.000728,1.87821128158359e-05,4.25696703920566e-07,9.39105640791797,0.212848351960283
2011,"Maize",1,"2",100,126,"40",0.06,0,102,"",3,180,1.39,40.99,"",NA,NA,NA,117,1.30769230769231,0.06,5.15954311474506e-05,13.4148120983372,0.024594,0.000834,0,0,0.024594,0.000834,2.114896722734e-05,7.17176492949563e-07,5.4987314791084,0.186465888166886
2011,"Maize",1,"3",0,10,"50",0,0,30,"",3,180,1.33,42.98,"",NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",1,"3",10,30,"10",0.08,0,60,"",3,180,1.42,39.15,"",NA,NA,NA,20,1,0.08,0.000116949643934221,23.3899287868443,0.03132,0.001136,0,0,0.03132,0.001136,4.57857856002477e-05,1.66068494386594e-06,9.15715712004953,0.332136988773189
2011,"Maize",1,"3",30,50,"2",0.07,0,60,"",3,180,0.99,37.56,"",NA,NA,NA,40,1,0.07,0.000102330938442444,20.4661876884887,0.026292,0.000693,0,0,0.026292,0.000693,3.84355004789819e-05,1.01307629058019e-06,7.68710009579637,0.202615258116038
2011,"Maize",1,"3",50,100,"2",0.15,0,150,"",3,180,1.04,38.15,"",NA,NA,NA,75,1,0.15,8.7712232950666e-05,43.856116475333,0.057225,0.00156,0,0,0.057225,0.00156,3.34622168706791e-05,9.12207222686926e-07,16.7311084353395,0.456103611343463
