date,tube,location,bottom of tape,top of soil,bottom of light,22 cm mark,visible number/label?,Notes
2013-09-25,39,1,100,75,40,NA,No,
2013-09-25,40,1,100,NA,70,NA,Yes,
2013-09-26,42,1,100,NA,50,75,Yes,
2013-09-26,43,1,100,NA,60,NA,No,
2013-09-26,43,5,100,NA,45,NA,No,
2013-09-26,44,1,65,65,100,NA,No,
2013-09-26,45,1,35,65,100,35,Yes,
2013-09-26,48,1,100,NA,25,NA,No,
2013-09-27,49,1,100,NA,85,NA,No,
2013-09-27,49,5,100,NA,70,NA,No,
2013-09-27,50,1,100,NA,25,60,No,
2013-09-27,50,5,35,30,30,NA,No,
2013-09-27,52,1,100,NA,55,45,Yes,
2013-09-27,53,1,100,NA,60,NA,No,
2013-09-27,53,5,100,NA,70,NA,No,
2013-09-27,55,1,100,NA,85,NA,No,
2013-09-27,55,5,50,0,35,NA,Yes,
2013-09-25,57,1,100,NA,65,NA,No,
2013-09-25,57,5,100,NA,70,NA,No,
2013-09-25,58,1,100,NA,20,NA,No,
2013-09-25,61,1,100,NA,35,NA,No,
2013-09-25,61,5,NA,0,100,NA,Yes,
2013-09-25,63,1,75,NA,100,60,Yes,
2013-09-25,63,5,75,NA,100,60,Yes,
2013-09-25,64,1,100,NA,60,NA,No,
2013-09-25,64,5,NA,90,95,NA,No,
2013-09-26,65,1,65,65,30,45,Yes,
2013-09-26,66,1,100,NA,40,70,Yes,
2013-09-26,67,1,100,NA,75,NA,No,
2013-09-26,67,5,100,NA,50,NA,No,
2013-09-26,68,1,100,NA,75,45,Yes,
2013-09-26,68,5,100,NA,85,NA,No,
2013-09-26,69,1,100,NA,80,NA,No,
2013-09-26,70,1,100,NA,25,NA,No,
2013-09-26,70,5,NA,15,100,NA,No,
2013-09-26,71,1,100,NA,75,NA,Yes,
2013-09-26,71,5,NA,0,30,NA,No,
2013-09-26,72,1,100,NA,40,NA,Yes,
2013-09-27,73,1,100,NA,45,NA,No,
2013-09-27,73,5,100,NA,85,NA,No,
2013-09-27,75,1,100,NA,75,NA,No,
2013-09-27,80,1,100,NA,65,NA,No,
2013-09-27,80,5,100,95,50,85,No,
2013-09-26,81,1,100,NA,75,NA,No,
2013-09-26,81,5,NA,0,95,NA,No,
2013-09-25,82,1,100,NA,90,NA,No,
2013-09-25,82,5,NA,20,100,NA,No,
2013-09-25,83,1,100,NA,55,NA,No,
2013-09-25,83,5,NA,95,100,NA,No,
2013-09-26,84,1,100,NA,65,NA,No,
2013-09-26,84,5,35,NA,100,NA,Yes,
2013-09-26,85,1,100,NA,35,NA,No,
2013-09-26,85,5,15,5,100,NA,Yes,
2013-09-26,86,1,100,NA,95,NA,No,
2013-09-25,87,1,100,NA,60,NA,No,
2013-09-25,87,5,65,65,50,NA,Yes,
2013-09-25,88,1,20,20,100,NA,Yes,
2013-09-26,89,1,100,NA,45,NA,No,
2013-09-26,89,5,NA,0,30,NA,No,
2013-09-26,91,1,100,NA,80,NA,No,
2013-09-26,92,1,100,NA,65,NA,Yes,
2013-09-26,93,1,100,NA,60,NA,Yes,
2013-09-26,94,1,100,NA,70,NA,No,
2013-09-26,94,5,NA,0,45,NA,No,
2013-09-26,95,1,100,NA,25,NA,No,
2013-09-26,95,5,NA,NA,100,NA,No,
